full_name,id,barcode,abs_type,belt_length,belt_type,car_brands,compatibility,compatible_cars,diameter,dimension,disc_size,drive_type,engine_code,engine_displacement,fuel_type,main_category,material,part_number,position,sub_category,transmission_type,width,year_from,year_to
+ XV מ12 דסקיות קדמי מ04 B4,,,,,,['Subaru'],"['', 'XV מ12 דסקיות קדמי מ04 B4']","Subaru: XV, Subaru: Legacy B4",,,,,,,,Brake,,,Front,Brake Discs,,,2012,
09-12 פ.גיר מזדה 3,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Transmission,,,,Transmission Filter,,,2009,2012
1.2 CBZ ח.קראנק,,,,,,[],,,,,,,CBZ,1.2 L,,Sensor,,,,Crankshaft Position Sensor,,,,
1.4 CAV מ.מים,,,,,,[],,,,,,,CAV,1.4 L,,Cooling,,,,Water Pump,,,,
1.4 מ15 SX4 פ.אויר + ויטרה 1.4 מ15,,,,,,['Suzuki'],"['1.4 מ15 SX4 פ.אויר', 'ויטרה 1.4 מ15']","Suzuki: Vitara, Suzuki: SX4",,,,,,1.4 L,,Filter,,,,Air Filter,,,2015,
1.6 BTS מ.מים רומסטר,,,,,,['Skoda'],,Skoda: Roomster,,,,,BTS,1.6 L,,Cooling,,,,Water Pump,,,,
1.6 צינור מים תחתון מזדה 3 עד 12,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,1.6 L,,Cooling,,,Lower,Coolant Pipe,,,,2012
1.6 ת.מנוע ימין מזדה 3 מ09,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,1.6 L,,Engine,,,Right,Right Engine Mount,,,2009,
1.8 CDA צינור נשם,,,,,,[],,,,,,,CDA,1.8 L,,Engine,,,,Breather Hose,,,,
124X דסקיות אחורי אוקטביה מ13,,,,,,['Skoda'],,Skoda: Octavia,,,124 mm,,,,,Brake,,,Rear,Brake Discs,,,2013,
13A 1575,,,,,,[],,,,,,,,,,,,13A1575,,,,,,
16v סט טיימינג רומסטר + פולו 1.4,,,,,,"['Volkswagen', 'Skoda']","['16v סט טיימינג רומסטר', 'פולו 1.4']","Volkswagen: Polo, Skoda: Roomster",,,,,,1.4 L,,Engine,,,,Timing Belt Kit,,,,
